Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
23.0,317.0,2018.0,6.0,65000.0,0.0,2.0,2.0,590000.0
3.0,24.0,2021.0,3.0,50000.0,0.0,0.0,2.0,3250000.0
12.0,84.0,2014.0,10.0,61000.0,0.0,0.0,2.0,685000.0
23.0,317.0,2005.0,19.0,98000.0,1.0,2.0,2.0,160000.0
22.0,382.0,2017.0,7.0,76000.0,0.0,2.0,0.0,760000.0
22.0,382.0,2016.0,8.0,89100.0,1.0,2.0,0.0,760000.0
37.0,253.0,2018.0,6.0,73961.0,0.0,2.0,2.0,935000.0
11.0,120.0,2019.0,5.0,60000.0,0.0,0.0,0.0,2740000.0
22.0,329.0,2018.0,6.0,46850.0,1.0,2.0,0.0,880000.0
22.0,329.0,2023.0,1.0,28000.0,0.0,0.0,0.0,1785000.0
22.0,382.0,2013.0,11.0,99000.0,1.0,2.0,0.0,470000.0
23.0,321.0,2009.0,15.0,56328.0,1.0,0.0,2.0,265000.0
3.0,22.0,2015.0,9.0,42000.0,0.0,2.0,0.0,1050000.0
13.0,100.0,2018.0,6.0,127000.0,1.0,0.0,0.0,995000.0
25.0,65.0,2013.0,11.0,78000.0,0.0,2.0,2.0,790000.0
36.0,188.0,2022.0,2.0,31000.0,0.0,0.0,0.0,2700000.0
33.0,200.0,2020.0,4.0,57000.0,0.0,0.0,0.0,3045000.0
11.0,120.0,2017.0,7.0,70000.0,0.0,2.0,0.0,2650000.0
12.0,84.0,2016.0,8.0,93000.0,0.0,2.0,2.0,575000.0
13.0,122.0,2014.0,10.0,41453.0,1.0,2.0,2.0,220000.0
35.0,42.0,2021.0,3.0,33000.0,1.0,0.0,2.0,545000.0
23.0,80.0,2018.0,6.0,37000.0,0.0,2.0,2.0,460000.0
37.0,253.0,2015.0,9.0,65000.0,1.0,0.0,2.0,375000.0
13.0,169.0,2022.0,2.0,36000.0,0.0,0.0,2.0,690000.0
36.0,71.0,2016.0,8.0,130000.0,0.0,2.0,2.0,1399999.0
23.0,40.0,2013.0,11.0,100000.0,1.0,2.0,2.0,160000.0
4.0,365.0,2016.0,8.0,93000.0,0.0,0.0,0.0,2100000.0
13.0,100.0,2019.0,5.0,48000.0,1.0,0.0,0.0,1065000.0
4.0,368.0,2016.0,8.0,63000.0,0.0,2.0,0.0,2290000.0
13.0,394.0,2015.0,9.0,85000.0,1.0,2.0,0.0,560000.0
33.0,271.0,2017.0,7.0,70000.0,0.0,0.0,0.0,750000.0
13.0,352.0,2013.0,11.0,59000.0,1.0,2.0,2.0,425000.0
22.0,322.0,2015.0,9.0,72000.0,0.0,2.0,0.0,390000.0
25.0,112.0,2012.0,12.0,74000.0,0.0,2.0,0.0,1295000.0
12.0,84.0,2018.0,6.0,78127.0,1.0,0.0,0.0,785000.0
23.0,83.0,2020.0,4.0,26000.0,1.0,0.0,2.0,775000.0
31.0,197.0,2017.0,7.0,65663.0,0.0,2.0,2.0,325000.0
4.0,11.0,2018.0,6.0,24000.0,0.0,0.0,2.0,4199000.0
36.0,140.0,2015.0,9.0,160000.0,0.0,2.0,0.0,1250000.0
37.0,253.0,2020.0,4.0,79000.0,1.0,2.0,2.0,725000.0
23.0,52.0,2018.0,6.0,31000.0,1.0,0.0,2.0,549000.0
13.0,100.0,2019.0,5.0,55000.0,0.0,0.0,0.0,1299999.0
23.0,318.0,2015.0,9.0,89000.0,1.0,2.0,0.0,431000.0
13.0,36.0,2022.0,2.0,37000.0,0.0,0.0,0.0,1820000.0
23.0,39.0,2016.0,8.0,56000.0,1.0,0.0,2.0,275000.0
25.0,211.0,2015.0,9.0,75000.0,0.0,0.0,0.0,2450000.0
12.0,63.0,2014.0,10.0,32001.0,1.0,2.0,2.0,295000.0
23.0,319.0,2024.0,0.0,22000.0,1.0,0.0,2.0,260000.0
13.0,394.0,2010.0,14.0,45000.0,1.0,2.0,2.0,150000.0
36.0,140.0,2021.0,3.0,60000.0,0.0,0.0,2.0,3200000.0
18.0,302.0,2021.0,3.0,41000.0,0.0,0.0,2.0,1390000.0
37.0,253.0,2015.0,9.0,51000.0,1.0,2.0,2.0,499999.0
36.0,163.0,2021.0,3.0,28000.0,0.0,2.0,2.0,750000.0
4.0,11.0,2019.0,5.0,38000.0,0.0,0.0,0.0,4450000.0
33.0,271.0,2019.0,5.0,64800.0,0.0,0.0,0.0,799000.0
17.0,88.0,2022.0,2.0,17300.0,0.0,0.0,2.0,1995000.0
37.0,347.0,2013.0,11.0,38000.0,1.0,0.0,2.0,292000.0
12.0,84.0,2011.0,13.0,95000.0,0.0,2.0,2.0,280000.0
12.0,63.0,2012.0,12.0,72000.0,1.0,0.0,2.0,165000.0
23.0,123.0,2016.0,8.0,135000.0,1.0,2.0,0.0,875000.0
36.0,127.0,2012.0,12.0,135000.0,1.0,2.0,0.0,395000.0
37.0,347.0,2019.0,5.0,160000.0,1.0,0.0,0.0,695000.0
35.0,173.0,2022.0,2.0,14000.0,0.0,0.0,0.0,1875000.0
18.0,302.0,2020.0,4.0,50200.0,0.0,0.0,2.0,1300000.0
23.0,40.0,2014.0,10.0,47000.0,1.0,0.0,2.0,255000.0
3.0,22.0,2015.0,9.0,42000.0,0.0,2.0,0.0,1050000.0
12.0,84.0,2011.0,13.0,59600.0,1.0,2.0,2.0,210000.0
23.0,277.0,2010.0,14.0,8000.0,0.0,2.0,2.0,185000.0
23.0,361.0,2023.0,1.0,30000.0,1.0,0.0,2.0,675000.0
31.0,197.0,2017.0,7.0,54000.0,0.0,2.0,2.0,365000.0
